id,display_name,alternate_titles,hierarchy_level,parent_publisher,lineage,country_codes,homepage_url,image_url,image_thumbnail_url,works_count,cited_by_count,counts_by_year,roles,sources_api_url,updated_date,created_date,summary_stats.2yr_mean_citedness,summary_stats.h_index,summary_stats.i10_index,ids.openalex,ids.ror,ids.wikidata,parent_publisher.id,parent_publisher.display_name
https://openalex.org/P4310320990,Elsevier BV,"['Elsevier', 'elsevier.com', 'Elsevier Science', 'Uitg. Elsevier', 'السفیر', 'السویر', 'انتشارات الزویر', 'لودویک السفیر', '爱思唯尔']",0,,['https://openalex.org/P4310320990'],['NL'],https://www.relx.com,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Elsevier.svg,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Elsevier.svg&width=300,19638060,599940776,"[{'year': 2023, 'works_count': 348936, 'oa_works_count': 76624, 'cited_by_count': 10972582}, {'year': 2022, 'works_count': 853008, 'oa_works_count': 303007, 'cited_by_count': 34794353}, {'year': 2021, 'works_count': 853971, 'oa_works_count': 324419, 'cited_by_count': 33715366}, {'year': 2020, 'works_count': 800886, 'oa_works_count': 288548, 'cited_by_count': 29524541}, {'year': 2019, 'works_count': 748621, 'oa_works_count': 242344, 'cited_by_count': 25247102}, {'year': 2018, 'works_count': 715810, 'oa_works_count': 216553, 'cited_by_count': 22448053}, {'year': 2017, 'works_count': 741141, 'oa_works_count': 220524, 'cited_by_count': 20648448}, {'year': 2016, 'works_count': 707866, 'oa_works_count': 218171, 'cited_by_count': 19913681}, {'year': 2015, 'works_count': 652543, 'oa_works_count': 192377, 'cited_by_count': 19545485}, {'year': 2014, 'works_count': 628755, 'oa_works_count': 172905, 'cited_by_count': 18609252}, {'year': 2013, 'works_count': 608486, 'oa_works_count': 157737, 'cited_by_count': 17374046}, {'year': 2012, 'works_count': 587406, 'oa_works_count': 148571, 'cited_by_count': 15786904}]","[{'role': 'publisher', 'id': 'https://openalex.org/P4310320990', 'works_count': 19638060}, {'role': 'funder', 'id': 'https://openalex.org/F4320308305', 'works_count': 102}, {'role': 'institution', 'id': 'https://openalex.org/I4210160603', 'works_count': 798}, {'role': 'institution', 'id': 'https://openalex.org/I1318003438', 'works_count': 2101}]",https://api.openalex.org/sources?filter=host_organization.id:P4310320990,2025-09-30T05:13:55.644972,2023-01-01,5.01759131735842,2910,9488135,https://openalex.org/P4310320990,https://ror.org/02scfj030,https://www.wikidata.org/entity/Q746413,,
https://openalex.org/P4310319965,Springer Nature,"['エイプレス', 'Springer Nature Group', '施普林格-自然出版集团']",0,,['https://openalex.org/P4310319965'],['DE'],https://www.springernature.com,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Springer Nature Logo.svg,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Springer Nature Logo.svg&width=300,10535865,259214364,"[{'year': 2023, 'works_count': 137188, 'oa_works_count': 31946, 'cited_by_count': 3713193}, {'year': 2022, 'works_count': 591311, 'oa_works_count': 188593, 'cited_by_count': 13004211}, {'year': 2021, 'works_count': 637902, 'oa_works_count': 198406, 'cited_by_count': 12840277}, {'year': 2020, 'works_count': 586353, 'oa_works_count': 173303, 'cited_by_count': 11200288}, {'year': 2019, 'works_count': 536692, 'oa_works_count': 150999, 'cited_by_count': 9484225}, {'year': 2018, 'works_count': 531043, 'oa_works_count': 137371, 'cited_by_count': 8360485}, {'year': 2017, 'works_count': 497689, 'oa_works_count': 126444, 'cited_by_count': 7705998}, {'year': 2016, 'works_count': 483643, 'oa_works_count': 122036, 'cited_by_count': 7471295}, {'year': 2015, 'works_count': 486511, 'oa_works_count': 119180, 'cited_by_count': 7347462}, {'year': 2014, 'works_count': 595223, 'oa_works_count': 115132, 'cited_by_count': 7029755}, {'year': 2013, 'works_count': 574275, 'oa_works_count': 109496, 'cited_by_count': 6510117}, {'year': 2012, 'works_count': 434788, 'oa_works_count': 99421, 'cited_by_count': 5864915}]","[{'role': 'institution', 'id': 'https://openalex.org/I4210131128', 'works_count': 36}, {'role': 'institution', 'id': 'https://openalex.org/I1313014049', 'works_count': 10327}, {'role': 'publisher', 'id': 'https://openalex.org/P4310319965', 'works_count': 10535865}]",https://api.openalex.org/sources?filter=host_organization.id:P4310319965,2025-09-30T04:52:31.721220,2023-01-01,2.447701929281781,2075,4306099,https://openalex.org/P4310319965,https://ror.org/0117jxy09,https://www.wikidata.org/entity/Q21096327,,
https://openalex.org/P4310320595,Wiley,"['ジョン・ワイリー&サンズ', 'ジョンワイリー＆サンズ', 'ブルームバーグ・プレス', 'ジョン・ワイリー・アンド・サンズ', 'John Wiley and Sons', 'John Wiley & Sons', 'John Wiley & Sons Inc', 'John Wiley & Sons, Inc.', 'John Wiley & Sons Incorporated', 'J.Wiley', 'J. Wiley', 'Wiley', 'wiley.com', 'Wiley Interscience', 'Wiley InterScience', 'Wiley-VCH', 'Wiley-VCH Verlag GmbH & Co. KGaA', 'Wiley (видавництво)', 'انتشارات جان وایلی', 'انتشارات جان وایلی و پسران', 'جان وایلی', 'جان وایلی و فرزندان', '约翰威立国际出版公司']",0,,['https://openalex.org/P4310320595'],"['GB', 'AU']",https://www.wiley.com/en-us,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Wiley logo old.svg,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Wiley logo old.svg&width=300,10032777,237461242,"[{'year': 2023, 'works_count': 67582, 'oa_works_count': 14949, 'cited_by_count': 3437945}, {'year': 2022, 'works_count': 268197, 'oa_works_count': 82823, 'cited_by_count': 11878149}, {'year': 2021, 'works_count': 289338, 'oa_works_count': 114416, 'cited_by_count': 12063718}, {'year': 2020, 'works_count': 281488, 'oa_works_count': 120235, 'cited_by_count': 11178831}, {'year': 2019, 'works_count': 263444, 'oa_works_count': 101610, 'cited_by_count': 9872612}, {'year': 2018, 'works_count': 265253, 'oa_works_count': 96368, 'cited_by_count': 9038071}, {'year': 2017, 'works_count': 257341, 'oa_works_count': 85501, 'cited_by_count': 8500899}, {'year': 2016, 'works_count': 265688, 'oa_works_count': 81699, 'cited_by_count': 8460245}, {'year': 2015, 'works_count': 255661, 'oa_works_count': 67351, 'cited_by_count': 8500020}, {'year': 2014, 'works_count': 243075, 'oa_works_count': 59592, 'cited_by_count': 8305844}, {'year': 2013, 'works_count': 246698, 'oa_works_count': 54723, 'cited_by_count': 7922250}, {'year': 2012, 'works_count': 239312, 'oa_works_count': 48793, 'cited_by_count': 7371135}]","[{'role': 'institution', 'id': 'https://openalex.org/I4210131007', 'works_count': 5738}, {'role': 'institution', 'id': 'https://openalex.org/I4362561690', 'works_count': 46895}, {'role': 'funder', 'id': 'https://openalex.org/F4320308248', 'works_count': 34}, {'role': 'institution', 'id': 'https://openalex.org/I4210085863', 'works_count': 2189}, {'role': 'publisher', 'id': 'https://openalex.org/P4310320595', 'works_count': 10032777}]",https://api.openalex.org/sources?filter=host_organization.id:P4310320595,2025-09-30T05:32:42.303641,2023-01-01,3.7805978773055693,2317,3871300,https://openalex.org/P4310320595,https://ror.org/02xe89706,https://www.wikidata.org/entity/Q1479654,,
https://openalex.org/P4310319900,Springer Science+Business Media,"['슈프링어 페를라그', 'シュプリンガー', 'シュプリンガー・サイエンス+ビジネスメディア', 'Kluwer Academic Publishers', 'Springer', 'Springer SBM', 'Springer Science & Business Media', 'Springer Science+Business Media S.A.', 'Springer-Verlag', 'Springer-Verlag Berlin Heidelberg', 'Verlag von Julius Springer', '施普林格科学 商业媒体']",1,,"['https://openalex.org/P4310319900', 'https://openalex.org/P4310319965']",['DE'],https://www.springer.com,,,6237795,134549847,"[{'year': 2023, 'works_count': 89576, 'oa_works_count': 22713, 'cited_by_count': 2860364}, {'year': 2022, 'works_count': 393517, 'oa_works_count': 130320, 'cited_by_count': 9996572}, {'year': 2021, 'works_count': 399150, 'oa_works_count': 136790, 'cited_by_count': 9948880}, {'year': 2020, 'works_count': 372274, 'oa_works_count': 119889, 'cited_by_count': 8719164}, {'year': 2019, 'works_count': 363025, 'oa_works_count': 105796, 'cited_by_count': 7433915}, {'year': 2018, 'works_count': 341875, 'oa_works_count': 93914, 'cited_by_count': 6586684}, {'year': 2017, 'works_count': 328132, 'oa_works_count': 89422, 'cited_by_count': 6094325}, {'year': 2016, 'works_count': 320938, 'oa_works_count': 88256, 'cited_by_count': 5909725}, {'year': 2015, 'works_count': 309661, 'oa_works_count': 86147, 'cited_by_count': 5791924}, {'year': 2014, 'works_count': 305246, 'oa_works_count': 81105, 'cited_by_count': 5543659}, {'year': 2013, 'works_count': 302268, 'oa_works_count': 78137, 'cited_by_count': 5148491}, {'year': 2012, 'works_count': 295897, 'oa_works_count': 71239, 'cited_by_count': 4639326}]","[{'role': 'publisher', 'id': 'https://openalex.org/P4310319900', 'works_count': 6237795}]",https://api.openalex.org/sources?filter=host_organization.id:P4310319900,2025-09-29T08:47:52.132145,2023-01-01,3.0151134847559784,1724,3283360,https://openalex.org/P4310319900,,https://www.wikidata.org/entity/Q176916,https://openalex.org/P4310319965,Springer Nature
https://openalex.org/P4310320547,Taylor & Francis,"['テイラー&フランシス', 'テイラー&フランシス・グループ', 'テイラーアンドフランシス・グループ', 'Erlbaum', 'Lawrence Erlbaum', 'Lawrence Erlbaum Associates', 'Taylor and Francis', 'Taylor et Francis', 'Taylor & Francis', 'Taylor&Francis', 'Taylor & Francis Group', 'Taylor & Francis, Ltd', 'Taylor & Francis集團', 'Westview Press出版公司', '泰勒与弗朗西斯', '泰勒及弗朗西斯出版公司', '泰勒及弗朗西斯集團', '泰勒及法蘭西斯', '泰勒和弗朗西斯', '泰勒和弗朗西斯集团', '泰勒和弗朗西斯集團', '泰勒弗朗西斯集团', '泰勒與弗朗西斯', '泰勒與法蘭西斯出版集團', '西景出版社']",0,,['https://openalex.org/P4310320547'],['GB'],https://www.taylorfrancis.com,"https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Taylor and Francis logo, (The Ibis, 1900).jpg","https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Taylor and Francis logo, (The Ibis, 1900).jpg&width=300",4538800,77496686,"[{'year': 2023, 'works_count': 25854, 'oa_works_count': 5506, 'cited_by_count': 882340}, {'year': 2022, 'works_count': 107759, 'oa_works_count': 31460, 'cited_by_count': 3149389}, {'year': 2021, 'works_count': 117190, 'oa_works_count': 36785, 'cited_by_count': 3204543}, {'year': 2020, 'works_count': 116616, 'oa_works_count': 35674, 'cited_by_count': 2902321}, {'year': 2019, 'works_count': 114512, 'oa_works_count': 35137, 'cited_by_count': 2508069}, {'year': 2018, 'works_count': 104526, 'oa_works_count': 32304, 'cited_by_count': 2179517}, {'year': 2017, 'works_count': 110904, 'oa_works_count': 32583, 'cited_by_count': 1973561}, {'year': 2016, 'works_count': 121441, 'oa_works_count': 32225, 'cited_by_count': 1960269}, {'year': 2015, 'works_count': 108358, 'oa_works_count': 23548, 'cited_by_count': 1933194}, {'year': 2014, 'works_count': 111199, 'oa_works_count': 20692, 'cited_by_count': 1894368}, {'year': 2013, 'works_count': 122199, 'oa_works_count': 20147, 'cited_by_count': 1786556}, {'year': 2012, 'works_count': 105223, 'oa_works_count': 15834, 'cited_by_count': 1558490}]","[{'role': 'publisher', 'id': 'https://openalex.org/P4310320547', 'works_count': 4538800}]",https://api.openalex.org/sources?filter=host_organization.id:P4310320547,2025-09-29T08:45:06.861781,2023-01-01,2.568251696159267,1174,1215289,https://openalex.org/P4310320547,,https://www.wikidata.org/entity/Q880582,,
https://openalex.org/P4310311647,University of Oxford,[],0,,['https://openalex.org/P4310311647'],['GB'],https://www.ox.ac.uk,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/University of Oxford.svg,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/University of Oxford.svg&width=300,3707152,100660407,"[{'year': 2023, 'works_count': 21992, 'oa_works_count': 5666, 'cited_by_count': 1018117}, {'year': 2022, 'works_count': 104890, 'oa_works_count': 47822, 'cited_by_count': 3764447}, {'year': 2021, 'works_count': 110684, 'oa_works_count': 57374, 'cited_by_count': 3903111}, {'year': 2020, 'works_count': 114271, 'oa_works_count': 63129, 'cited_by_count': 3651376}, {'year': 2019, 'works_count': 106432, 'oa_works_count': 54747, 'cited_by_count': 3267842}, {'year': 2018, 'works_count': 124609, 'oa_works_count': 60913, 'cited_by_count': 3016991}, {'year': 2017, 'works_count': 116759, 'oa_works_count': 64359, 'cited_by_count': 2809396}, {'year': 2016, 'works_count': 98269, 'oa_works_count': 54202, 'cited_by_count': 2814251}, {'year': 2015, 'works_count': 95332, 'oa_works_count': 50905, 'cited_by_count': 2850847}, {'year': 2014, 'works_count': 88980, 'oa_works_count': 44303, 'cited_by_count': 2802989}, {'year': 2013, 'works_count': 90373, 'oa_works_count': 41623, 'cited_by_count': 2676664}, {'year': 2012, 'works_count': 87467, 'oa_works_count': 37360, 'cited_by_count': 2488609}]","[{'role': 'publisher', 'id': 'https://openalex.org/P4310311647', 'works_count': 3707152}, {'role': 'funder', 'id': 'https://openalex.org/F4320320290', 'works_count': 2260}, {'role': 'institution', 'id': 'https://openalex.org/I40120149', 'works_count': 419325}]",https://api.openalex.org/sources?filter=host_organization.id:P4310311647,2025-09-30T05:20:23.233416,2023-01-01,2.3374738760822766,1862,1077437,https://openalex.org/P4310311647,https://ror.org/052gg0110,https://www.wikidata.org/entity/Q34433,,
https://openalex.org/P4310311648,Oxford University Press,[],1,,"['https://openalex.org/P4310311647', 'https://openalex.org/P4310311648']",['GB'],http://global.oup.com/?cc=gb,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/OUP logo.svg,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/OUP logo.svg&width=300,3667110,99982932,"[{'year': 2023, 'works_count': 21761, 'oa_works_count': 5506, 'cited_by_count': 1001016}, {'year': 2022, 'works_count': 100301, 'oa_works_count': 44027, 'cited_by_count': 3702540}, {'year': 2021, 'works_count': 105672, 'oa_works_count': 52428, 'cited_by_count': 3843912}, {'year': 2020, 'works_count': 109387, 'oa_works_count': 58271, 'cited_by_count': 3601149}, {'year': 2019, 'works_count': 101711, 'oa_works_count': 50047, 'cited_by_count': 3227838}, {'year': 2018, 'works_count': 119666, 'oa_works_count': 56268, 'cited_by_count': 2983731}, {'year': 2017, 'works_count': 110394, 'oa_works_count': 58042, 'cited_by_count': 2779859}, {'year': 2016, 'works_count': 96239, 'oa_works_count': 52259, 'cited_by_count': 2787950}, {'year': 2015, 'works_count': 94300, 'oa_works_count': 49924, 'cited_by_count': 2828068}, {'year': 2014, 'works_count': 87991, 'oa_works_count': 43455, 'cited_by_count': 2784955}, {'year': 2013, 'works_count': 89444, 'oa_works_count': 40813, 'cited_by_count': 2662179}, {'year': 2012, 'works_count': 86905, 'oa_works_count': 36887, 'cited_by_count': 2477114}]","[{'role': 'publisher', 'id': 'https://openalex.org/P4310311648', 'works_count': 3667110}, {'role': 'funder', 'id': 'https://openalex.org/F4320335273', 'works_count': 128}, {'role': 'institution', 'id': 'https://openalex.org/I2802626578', 'works_count': 4419}]",https://api.openalex.org/sources?filter=host_organization.id:P4310311648,2025-09-30T05:09:44.953677,2023-01-01,2.355726026501969,1858,1067161,https://openalex.org/P4310311648,https://ror.org/0336mm561,https://www.wikidata.org/entity/Q217595,https://openalex.org/P4310311647,University of Oxford
https://openalex.org/P4310318547,Wolters Kluwer,[],0,,['https://openalex.org/P4310318547'],['NL'],https://wolterskluwer.com,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Wolterskluwer neu.png,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Wolterskluwer neu.png&width=300,3173789,70987697,"[{'year': 2023, 'works_count': 19545, 'oa_works_count': 5666, 'cited_by_count': 674718}, {'year': 2022, 'works_count': 84961, 'oa_works_count': 44434, 'cited_by_count': 2508442}, {'year': 2021, 'works_count': 93088, 'oa_works_count': 47261, 'cited_by_count': 2544507}, {'year': 2020, 'works_count': 102474, 'oa_works_count': 50953, 'cited_by_count': 2392138}, {'year': 2019, 'works_count': 93906, 'oa_works_count': 47812, 'cited_by_count': 2128518}, {'year': 2018, 'works_count': 91273, 'oa_works_count': 40948, 'cited_by_count': 2004592}, {'year': 2017, 'works_count': 84334, 'oa_works_count': 33182, 'cited_by_count': 2016085}, {'year': 2016, 'works_count': 88893, 'oa_works_count': 33165, 'cited_by_count': 2024891}, {'year': 2015, 'works_count': 85207, 'oa_works_count': 30227, 'cited_by_count': 2053299}, {'year': 2014, 'works_count': 85389, 'oa_works_count': 29114, 'cited_by_count': 1994499}, {'year': 2013, 'works_count': 72996, 'oa_works_count': 25623, 'cited_by_count': 1913041}, {'year': 2012, 'works_count': 76877, 'oa_works_count': 24674, 'cited_by_count': 1820504}]","[{'role': 'publisher', 'id': 'https://openalex.org/P4310318547', 'works_count': 3173789}, {'role': 'institution', 'id': 'https://openalex.org/I4210130036', 'works_count': 2241}]",https://api.openalex.org/sources?filter=host_organization.id:P4310318547,2025-09-30T03:51:54.203491,2023-01-01,1.8015817002310675,1258,887447,https://openalex.org/P4310318547,https://ror.org/03qemwx69,https://www.wikidata.org/entity/Q249798,,
https://openalex.org/P4310320017,SAGE Publishing,"['セイジ・パブリッシング', 'セージ・パブリケーションズ', 'SAGE', 'SAGEパブリケーションズ', 'SAGE Publications', 'SAGE Publications Ltd', 'SAGE Publishing', 'SAGE出版', 'セイジ出版']",0,,['https://openalex.org/P4310320017'],"['US', 'GB']",https://us.sagepub.com,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/SAGE Publishing logo.svg,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/SAGE Publishing logo.svg&width=300,2907824,59002924,"[{'year': 2023, 'works_count': 19056, 'oa_works_count': 3419, 'cited_by_count': 723722}, {'year': 2022, 'works_count': 80381, 'oa_works_count': 28372, 'cited_by_count': 2699051}, {'year': 2021, 'works_count': 83329, 'oa_works_count': 33612, 'cited_by_count': 2760212}, {'year': 2020, 'works_count': 85054, 'oa_works_count': 34676, 'cited_by_count': 2604707}, {'year': 2019, 'works_count': 75805, 'oa_works_count': 33040, 'cited_by_count': 2303536}, {'year': 2018, 'works_count': 74436, 'oa_works_count': 29291, 'cited_by_count': 2073041}, {'year': 2017, 'works_count': 78780, 'oa_works_count': 26748, 'cited_by_count': 1916950}, {'year': 2016, 'works_count': 83008, 'oa_works_count': 25654, 'cited_by_count': 1965628}, {'year': 2015, 'works_count': 71057, 'oa_works_count': 19435, 'cited_by_count': 1949239}, {'year': 2014, 'works_count': 89262, 'oa_works_count': 18207, 'cited_by_count': 1919374}, {'year': 2013, 'works_count': 77770, 'oa_works_count': 16090, 'cited_by_count': 1805161}, {'year': 2012, 'works_count': 98474, 'oa_works_count': 14742, 'cited_by_count': 1630591}]","[{'role': 'institution', 'id': 'https://openalex.org/I4210161027', 'works_count': 151}, {'role': 'institution', 'id': 'https://openalex.org/I4362561690', 'works_count': 46895}, {'role': 'publisher', 'id': 'https://openalex.org/P4310320017', 'works_count': 2907824}]",https://api.openalex.org/sources?filter=host_organization.id:P4310320017,2025-09-30T04:59:51.962277,2023-01-01,2.448012573612876,1513,906791,https://openalex.org/P4310320017,https://ror.org/05534qc24,https://www.wikidata.org/entity/Q251266,,
https://openalex.org/P4310315671,Lippincott Williams & Wilkins,[],1,,"['https://openalex.org/P4310315671', 'https://openalex.org/P4310318547']",['US'],http://www.lww.com,,,2678471,64109894,"[{'year': 2023, 'works_count': 12180, 'oa_works_count': 1705, 'cited_by_count': 566329}, {'year': 2022, 'works_count': 45448, 'oa_works_count': 14432, 'cited_by_count': 2106940}, {'year': 2021, 'works_count': 54458, 'oa_works_count': 19793, 'cited_by_count': 2164683}, {'year': 2020, 'works_count': 62560, 'oa_works_count': 21008, 'cited_by_count': 2068311}, {'year': 2019, 'works_count': 57212, 'oa_works_count': 18842, 'cited_by_count': 1882601}, {'year': 2018, 'works_count': 57706, 'oa_works_count': 16792, 'cited_by_count': 1800158}, {'year': 2017, 'works_count': 53948, 'oa_works_count': 11514, 'cited_by_count': 1830285}, {'year': 2016, 'works_count': 59298, 'oa_works_count': 10857, 'cited_by_count': 1852758}, {'year': 2015, 'works_count': 57355, 'oa_works_count': 10343, 'cited_by_count': 1892439}, {'year': 2014, 'works_count': 58733, 'oa_works_count': 12181, 'cited_by_count': 1849213}, {'year': 2013, 'works_count': 53917, 'oa_works_count': 12838, 'cited_by_count': 1796655}, {'year': 2012, 'works_count': 55990, 'oa_works_count': 13086, 'cited_by_count': 1719979}]","[{'role': 'publisher', 'id': 'https://openalex.org/P4310315671', 'works_count': 2678471}]",https://api.openalex.org/sources?filter=host_organization.id:P4310315671,2025-09-29T08:29:12.117426,2023-01-01,2.258751156840329,1243,745976,https://openalex.org/P4310315671,,https://www.wikidata.org/entity/Q2407351,https://openalex.org/P4310318547,Wolters Kluwer
https://openalex.org/P4310311702,University of Cambridge,[],0,,['https://openalex.org/P4310311702'],['GB'],https://www.cam.ac.uk,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/University of Cambridge International Examinations.svg,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/University of Cambridge International Examinations.svg&width=300,2288207,24206564,"[{'year': 2023, 'works_count': 11911, 'oa_works_count': 3174, 'cited_by_count': 251860}, {'year': 2022, 'works_count': 52943, 'oa_works_count': 18859, 'cited_by_count': 922691}, {'year': 2021, 'works_count': 65572, 'oa_works_count': 19881, 'cited_by_count': 1048953}, {'year': 2020, 'works_count': 60300, 'oa_works_count': 17770, 'cited_by_count': 1065171}, {'year': 2019, 'works_count': 65507, 'oa_works_count': 16690, 'cited_by_count': 1014971}, {'year': 2018, 'works_count': 72863, 'oa_works_count': 17033, 'cited_by_count': 859355}, {'year': 2017, 'works_count': 74510, 'oa_works_count': 16588, 'cited_by_count': 755372}, {'year': 2016, 'works_count': 70423, 'oa_works_count': 15819, 'cited_by_count': 768019}, {'year': 2015, 'works_count': 95682, 'oa_works_count': 14955, 'cited_by_count': 784923}, {'year': 2014, 'works_count': 86575, 'oa_works_count': 13652, 'cited_by_count': 791120}, {'year': 2013, 'works_count': 86852, 'oa_works_count': 14283, 'cited_by_count': 763921}, {'year': 2012, 'works_count': 100640, 'oa_works_count': 13190, 'cited_by_count': 705479}]","[{'role': 'institution', 'id': 'https://openalex.org/I241749', 'works_count': 384875}, {'role': 'funder', 'id': 'https://openalex.org/F4320320273', 'works_count': 2276}, {'role': 'publisher', 'id': 'https://openalex.org/P4310311702', 'works_count': 2288207}]",https://api.openalex.org/sources?filter=host_organization.id:P4310311702,2025-09-30T05:15:08.171570,2023-01-01,1.0007030034701447,1069,418556,https://openalex.org/P4310311702,https://ror.org/013meh722,https://www.wikidata.org/entity/Q35794,,
https://openalex.org/P4310311721,Cambridge University Press,[],1,,"['https://openalex.org/P4310311721', 'https://openalex.org/P4310311702']",['GB'],http://www.cambridge.org,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Cambridge Press Cover Emblem.jpg,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Cambridge Press Cover Emblem.jpg&width=300,2283802,23901778,"[{'year': 2023, 'works_count': 11900, 'oa_works_count': 3171, 'cited_by_count': 249847}, {'year': 2022, 'works_count': 52916, 'oa_works_count': 18844, 'cited_by_count': 914798}, {'year': 2021, 'works_count': 65510, 'oa_works_count': 19863, 'cited_by_count': 1038295}, {'year': 2020, 'works_count': 60245, 'oa_works_count': 17739, 'cited_by_count': 1049310}, {'year': 2019, 'works_count': 65469, 'oa_works_count': 16674, 'cited_by_count': 1001157}, {'year': 2018, 'works_count': 72816, 'oa_works_count': 17010, 'cited_by_count': 847604}, {'year': 2017, 'works_count': 74450, 'oa_works_count': 16561, 'cited_by_count': 746433}, {'year': 2016, 'works_count': 70382, 'oa_works_count': 15802, 'cited_by_count': 758351}, {'year': 2015, 'works_count': 95637, 'oa_works_count': 14935, 'cited_by_count': 775947}, {'year': 2014, 'works_count': 86522, 'oa_works_count': 13632, 'cited_by_count': 781119}, {'year': 2013, 'works_count': 86808, 'oa_works_count': 14269, 'cited_by_count': 753879}, {'year': 2012, 'works_count': 100602, 'oa_works_count': 13175, 'cited_by_count': 696112}]","[{'role': 'publisher', 'id': 'https://openalex.org/P4310311721', 'works_count': 2283802}, {'role': 'institution', 'id': 'https://openalex.org/I4210135132', 'works_count': 5272}]",https://api.openalex.org/sources?filter=host_organization.id:P4310311721,2025-09-30T04:59:43.605948,2023-01-01,0.9986529769210046,1059,416970,https://openalex.org/P4310311721,https://ror.org/03jsdjx34,https://www.wikidata.org/entity/Q912887,https://openalex.org/P4310311702,University of Cambridge
https://openalex.org/P4310320006,American Chemical Society,"['ACS', 'Amerykańskie Towarzystwo Chemiczne', 'Société américaine de chimie', 'جمعية الكيميائيين الأمريكية', '美国化学会', '美國化學協會']",0,,['https://openalex.org/P4310320006'],['US'],http://www.acs.org/content/acs/en.html,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/American Chemical Society Building.JPG,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/American Chemical Society Building.JPG&width=300,1909522,83025224,"[{'year': 2023, 'works_count': 17664, 'oa_works_count': 3224, 'cited_by_count': 1564753}, {'year': 2022, 'works_count': 68179, 'oa_works_count': 14901, 'cited_by_count': 4842883}, {'year': 2021, 'works_count': 67402, 'oa_works_count': 19755, 'cited_by_count': 4803866}, {'year': 2020, 'works_count': 67223, 'oa_works_count': 22014, 'cited_by_count': 4349959}, {'year': 2019, 'works_count': 64300, 'oa_works_count': 19590, 'cited_by_count': 3961737}, {'year': 2018, 'works_count': 60738, 'oa_works_count': 18056, 'cited_by_count': 3707625}, {'year': 2017, 'works_count': 54069, 'oa_works_count': 15887, 'cited_by_count': 3436745}, {'year': 2016, 'works_count': 51311, 'oa_works_count': 12690, 'cited_by_count': 3291435}, {'year': 2015, 'works_count': 45223, 'oa_works_count': 10355, 'cited_by_count': 3149768}, {'year': 2014, 'works_count': 46908, 'oa_works_count': 9490, 'cited_by_count': 3046911}, {'year': 2013, 'works_count': 45248, 'oa_works_count': 7982, 'cited_by_count': 2851843}, {'year': 2012, 'works_count': 44122, 'oa_works_count': 7616, 'cited_by_count': 2615595}]","[{'role': 'funder', 'id': 'https://openalex.org/F4320332454', 'works_count': 6239}, {'role': 'publisher', 'id': 'https://openalex.org/P4310320006', 'works_count': 1909522}, {'role': 'institution', 'id': 'https://openalex.org/I190567190', 'works_count': 1113}]",https://api.openalex.org/sources?filter=host_organization.id:P4310320006,2025-09-30T03:48:43.042834,2023-01-01,7.111783560845494,1522,1186941,https://openalex.org/P4310320006,https://ror.org/059dqb057,https://www.wikidata.org/entity/Q247556,,
